		 二浪以上 	 2 	 2 	 - 	 2 	 2 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	大宮	 計 	 324 	 179 	 145 	 324 	 179 	 145 	 154 	 100 	 54 	 9 	 4 	 5 	 161 	 75 	 86 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 			
		 現役 	 259 	 136 	 123 	 259 	 136 	 123 	 126 	 79 	 47 	 9 	 4 	 5 	 124 	 53 	 71 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 320 	 177 	 143 
		 一浪 	 63 	 41 	 22 	 63 	 41 	 22 	 27 	 20 	 7 	 - 	 - 	 - 	 36 	 21 	 15 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 2 	 2 	 - 	 2 	 2 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	大宮光陵	 計 	 160 	 71 	 89 	 151 	 71 	 80 	 - 	 - 	 - 	 - 	 - 	 - 	 151 	 71 	 80 	 9 	 - 	 9 	 - 	 - 	 - 	 9 	 - 	 9 	 - 	 - 	 - 			
		 現役 	 147 	 62 	 85 	 138 	 62 	 76 	 - 	 - 	 - 	 - 	 - 	 - 	 138 	 62 	 76 	 9 	 - 	 9 	 - 	 - 	 - 	 9 	 - 	 9 	 - 	 - 	 - 	 192 	 85 	 107 
		 一浪 	 9 	 7 	 2 	 9 	 7 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 9 	 7 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 4 	 2 	 2 	 4 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 4 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	大宮東	 計 	 148 	 108 	 40 	 135 	 107 	 28 	 1 	 1 	 - 	 - 	 - 	 - 	 134 	 106 	 28 	 13 	 1 	 12 	 - 	 - 	 - 	 13 	 1 	 12 	 - 	 - 	 - 			
		 現役 	 147 	 107 	 40 	 134 	 106 	 28 	 1 	 1 	 - 	 - 	 - 	 - 	 133 	 105 	 28 	 13 	 1 	 12 	 - 	 - 	 - 	 13 	 1 	 12 	 - 	 - 	 - 	 268 	 179 	 89 
		 一浪 	 1 	 1 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 1 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	大宮南	 計 	 271 	 165 	 106 	 242 	 165 	 77 	 - 	 - 	 - 	 - 	 - 	 - 	 242 	 165 	 77 	 29 	 - 	 29 	 - 	 - 	 - 	 29 	 - 	 29 	 - 	 - 	 - 			
		 現役 	 256 	 151 	 105 	 227 	 151 	 76 	 - 	 - 	 - 	 - 	 - 	 - 	 227 	 151 	 76 	 29 	 - 	 29 	 - 	 - 	 - 	 29 	 - 	 29 	 - 	 - 	 - 	 352 	 203 	 149 
		 一浪 	 15 	 14 	 1 	 15 	 14 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 15 	 14 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
