		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	大宮光陵	 計 	 186 	 94 	 92 	 177 	 94 	 83 	 2 	 1 	 1 	 1 	 - 	 1 	 174 	 93 	 81 	 9 	 - 	 9 	 - 	 - 	 - 	 9 	 - 	 9 	 - 	 - 	 - 			
		 現役 	 180 	 90 	 90 	 171 	 90 	 81 	 2 	 1 	 1 	 1 	 - 	 1 	 168 	 89 	 79 	 9 	 - 	 9 	 - 	 - 	 - 	 9 	 - 	 9 	 - 	 - 	 - 	 223 	 104 	 119 
		 一浪 	 5 	 4 	 1 	 5 	 4 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 5 	 4 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 1 	 - 	 1 	 1 	 - 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 1 	 - 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	大宮東	 計 	 133 	 80 	 53 	 122 	 79 	 43 	 - 	 - 	 - 	 1 	 1 	 - 	 121 	 78 	 43 	 11 	 1 	 10 	 - 	 - 	 - 	 11 	 1 	 10 	 - 	 - 	 - 			
		 現役 	 133 	 80 	 53 	 122 	 79 	 43 	 - 	 - 	 - 	 1 	 1 	 - 	 121 	 78 	 43 	 11 	 1 	 10 	 - 	 - 	 - 	 11 	 1 	 10 	 - 	 - 	 - 	 236 	 137 	 99 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	大宮南	 計 	 273 	 152 	 121 	 256 	 151 	 105 	 - 	 - 	 - 	 1 	 - 	 1 	 255 	 151 	 104 	 17 	 1 	 16 	 - 	 - 	 - 	 17 	 1 	 16 	 - 	 - 	 - 			
		 現役 	 268 	 148 	 120 	 251 	 147 	 104 	 - 	 - 	 - 	 1 	 - 	 1 	 250 	 147 	 103 	 17 	 1 	 16 	 - 	 - 	 - 	 17 	 1 	 16 	 - 	 - 	 - 	 345 	 178 	 167 
		 一浪 	 2 	 2 	 - 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 2 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 3 	 2 	 1 	 3 	 2 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 3 	 2 	 1 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	大宮武蔵野	 計 	 63 	 37 	 26 	 52 	 36 	 16 	 - 	 - 	 - 	 - 	 - 	 - 	 52 	 36 	 16 	 11 	 1 	 10 	 - 	 - 	 - 	 11 	 1 	 10 	 - 	 - 	 - 			
		 現役 	 63 	 37 	 26 	 52 	 36 	 16 	 - 	 - 	 - 	 - 	 - 	 - 	 52 	 36 	 16 	 11 	 1 	 10 	 - 	 - 	 - 	 11 	 1 	 10 	 - 	 - 	 - 	 211 	 71 	 140 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
